country,date,value,indicator
United States,1964,,inversion_extranjera
United States,1963,,inversion_extranjera
United States,1962,,inversion_extranjera
United States,1961,,inversion_extranjera
United States,1960,,inversion_extranjera
China,2024,,inversion_extranjera
China,2023,42727679407.24,inversion_extranjera
China,2022,190203789092.51,inversion_extranjera
China,2021,344074977062.48,inversion_extranjera
China,2020,253095616058.58,inversion_extranjera
China,2019,187169822364.755,inversion_extranjera
China,2018,235365050036.341,inversion_extranjera
China,2017,166083755721.649,inversion_extranjera
China,2016,174749584584.051,inversion_extranjera
China,2015,242489331627.399,inversion_extranjera
China,2014,268097181064.335,inversion_extranjera
China,2013,290928431467.003,inversion_extranjera
China,2012,241213868161.42,inversion_extranjera
China,2011,280072219149.935,inversion_extranjera
China,2010,243703434558.178,inversion_extranjera
China,2009,131057052869.5,inversion_extranjera
China,2008,171534650311.569,inversion_extranjera
China,2007,156249335203.202,inversion_extranjera
China,2006,124082035618.506,inversion_extranjera
China,2005,104108693867.085,inversion_extranjera
China,2004,68117272181.2194,inversion_extranjera
China,2003,57900937467.3864,inversion_extranjera
China,2002,53073618897.4036,inversion_extranjera
China,2001,47053000000.0,inversion_extranjera
China,2000,42095300000.0,inversion_extranjera
China,1999,41014000000.0,inversion_extranjera
China,1998,45644000000.0,inversion_extranjera
China,1997,45439000000.0,inversion_extranjera
China,1996,40180000000.0,inversion_extranjera
China,1995,35849200000.0,inversion_extranjera
China,1994,33787000000.0,inversion_extranjera
China,1993,27515000000.0,inversion_extranjera
China,1992,11156000000.0,inversion_extranjera
China,1991,4366000000.0,inversion_extranjera
China,1990,3487000000.0,inversion_extranjera
China,1989,3393000000.0,inversion_extranjera
China,1988,3194000000.0,inversion_extranjera
China,1987,2314000000.0,inversion_extranjera
China,1986,1875000000.0,inversion_extranjera
China,1985,1659000000.0,inversion_extranjera
China,1984,1258000000.0,inversion_extranjera
China,1983,636000000.0,inversion_extranjera
China,1982,430000000.0,inversion_extranjera
China,1981,265000000.0,inversion_extranjera
China,1980,57000000.0,inversion_extranjera
China,1979,80000.0,inversion_extranjera
China,1978,,inversion_extranjera
China,1977,,inversion_extranjera
China,1976,,inversion_extranjera
China,1975,,inversion_extranjera
China,1974,,inversion_extranjera
China,1973,,inversion_extranjera
China,1972,,inversion_extranjera
China,1971,,inversion_extranjera
China,1970,,inversion_extranjera
China,1969,,inversion_extranjera
China,1968,,inversion_extranjera
China,1967,,inversion_extranjera
China,1966,,inversion_extranjera
China,1965,,inversion_extranjera
China,1964,,inversion_extranjera
China,1963,,inversion_extranjera
China,1962,,inversion_extranjera
China,1961,,inversion_extranjera
China,1960,,inversion_extranjera
Brazil,2024,71069841874.2,inversion_extranjera
Brazil,2023,62441880089.59,inversion_extranjera
Brazil,2022,74606361830.23,inversion_extranjera
Brazil,2021,46440503520.19,inversion_extranjera
Brazil,2020,38270116307.45,inversion_extranjera
Brazil,2019,69174411753.45,inversion_extranjera
Brazil,2018,78183840044.98,inversion_extranjera
Brazil,2017,68885491315.23,inversion_extranjera
Brazil,2016,74294627801.19,inversion_extranjera
Brazil,2015,64738153494.44,inversion_extranjera
Brazil,2014,87713983217.24,inversion_extranjera
Brazil,2013,75211029129.4,inversion_extranjera
Brazil,2012,92568388321.34,inversion_extranjera
Brazil,2011,102427228231.42,inversion_extranjera
Brazil,2010,82389932468.07,inversion_extranjera
Brazil,2009,31480931700.0,inversion_extranjera
Brazil,2008,50716402711.4787,inversion_extranjera
Brazil,2007,44579492463.6336,inversion_extranjera
Brazil,2006,19418085598.0794,inversion_extranjera
Brazil,2005,15459981604.1196,inversion_extranjera
Brazil,2004,18161380459.7533,inversion_extranjera
Brazil,2003,10123013670.9901,inversion_extranjera
Brazil,2002,16586600193.114,inversion_extranjera
